L.p.;NUMER;PYTANIE;ODP1;ODP2;ODP3;ODP4
11;PL010-0013;Z wyjątkiem sytuacji, gdy jest to konieczne ze względu na start lub lądowanie lub gdy uzyskano zezwolenie właściwego organu, lot VFR nie jest wykonywany nad gęstą zabudową dużych miast, miasteczek, osiedli lub nad zgromadzeniem osób na wolnym powietrzu na wysokości względnej mniejszej niż 300 m (1 000 ft) nad najwyższą przeszkodą znajdującą się w promieniu:;600 m od statku powietrznego;300 m od statku powietrznego;500 m od statku powietrznego;650 m od statku powietrznego
12;PL010-0014;ADIZ jest to:;Strefa identyfikacji obrony powietrznej;Trasa lotnicza umożliwiająca przeloty pomiędzy TSA i lub TRA;Wojskowa strefa kontrolowana lotniska;Rejon lotów po obu stronach granicy państwa będący rejonem czasowo wydzielonym, ustanowionym ze względu na szczególne wymogi operacyjne
13;PL010-0015;AMC jest to:;Ośrodek Zarządzania Przestrzenią Powietrzną;Ośrodek Zarządzania Przepływem Ruchu Lotniczego;Zarządzanie ruchem lotniczym;Plan użytkowania przestrzeni powietrznej
14;PL010-0016;ARP, wg ICAO, jest to:;Punkt odniesienia lotniska;Najwyższe wzniesienie lotniska;Współrzędne drogi startowej;Wysokość elewacji progu pasa startowego
15;PL010-0017;ATM jest to:;Zarządzanie ruchem lotniczym;Ośrodek Zarządzania Przepływem Ruchu Lotniczego;Plan użytkowania przestrzeni powietrznej;Rejon kontrolowany lotniska
16;PL010-0018;ATZ jest to:;Strefa ruchu lotniskowego;Strefa identyfikacji obrony powietrznej;Wojskowa strefa ruchu lotniskowego;Obszar kontrolowany
17;PL010-0019;AUP jest to:;Plan użytkowania przestrzeni powietrznej;Stała trasa lotnictwa wojskowego;Ośrodek Zarządzania Przestrzenią Powietrzną Agencji ruchu Lotniczego;Ośrodek Zarządzania Przepływem Ruchu Lotniczego
18;PL010-0020;Kto podlega badaniom lotniczo- lekarskim?;Członkowie personelu lotniczego i członkowie personelu pokładowego;Członkowie personelu pokładowego;Członkowie personelu lotniczego;Pracownicy biurowi w liniach lotniczych
19;PL010-0021;CBA jest to:;Rejon lotów po obu stronach granicy państwa będący rejonem czasowo wydzielonym, ustanowionym ze względu na szczególne wymogi operacyjne;Trasa lotnicza umożliwiająca przeloty pomiędzy TSA i lub TRA;Strefa identyfikacji obrony powietrznej;Wojskowa strefa ruchu lotniskowego
20;PL010-0022;CTA jest to:;Obszar kontrolowany;Strefa identyfikacji obrony powietrznej;Rejon lotów po obu stronach granicy państwa będący rejonem czasowo wydzielonym, ustanowionym ze względu na szczególne wymogi operacyjne;Strefa kontrolowana lotniska
21;PL010-0023;CTR jest to:;Strefa kontrolowana lotniska;Strefa identyfikacji obrony powietrznej;Wojskowa strefa ruchu lotniskowego;Rejon kontrolowany lotniska
22;PL010-0026;Posiadacz licencji w przypadku rozpoczęcia regularnego przyjmowania leku:;Powinien zasięgnąć porady lotniczo-lekarskiej;Powinien zawiesić licencję;Nie powinien wykonywać czynności personelu lotniczego;Utraci licencję
23;PL010-0027;Kto jest członkiem personelu lotniczego?;Posiadacz PPL;Personel pokładowy;Posiadacz świadectwa dopuszczenia do pracy;Posiadacz PPL i personel pokładowy
24;PL010-0028;W przypadku wszystkich lotów w przestrzeni powietrznej klasy „C”:;Wszystkie loty statków powietrznych są wykonywane z zapewnieniem służb kontroli ruchu lotniczego, a także wymagana jest wobec nich ciągła łączność foniczna powietrze-ziemia;Wszystkie loty statków powietrznych są wykonywane z zapewnieniem służb kontroli ruchu lotniczego;Wymagana jest wobec nich ciągła łączność foniczna powietrze-ziemia;Dozwolone są wyłącznie loty IFR
25;PL010-0029;Członkowie załogi statku powietrznego mogą stosować wyłącznie środki przymusu:;Odpowiadające potrzebom wynikającym z istniejącej sytuacji i niezbędne do osiągnięcia podporządkowania poleceniom i decyzjom dowódcy;Niezbędne do osiągnięcia podporządkowania poleceniom i decyzjom dowódcy;Tylko po wylądowaniu statku powietrznego;Odpowiadające potrzebom wynikającym z istniejącej sytuacji
26;PL010-0030;Czy członek personelu lotniczego może wykonywać loty i inne czynności lotnicze w przypadku utraty wymaganej sprawności psychicznej i fizycznej?;Nie ma takiej możliwości;Tak, ale tylko do miesiąca od utraty sprawności psychicznej i fizycznej;Tak, ale tylko za zezwoleniem Prezesa ULC;Tak, ale tylko za zezwoleniem ministra właściwego do spraw transportu
27;PL010-0031;Czy dowódca statku powietrznego który otrzymał sygnał o niebezpieczeństwie grożącym innemu statkowi powietrznemu lub morskiemu obowiązany jest udzielić znajdującym się w niebezpieczeństwie pomocy?;Tak, ale tylko w zakresie, w jakim może to uczynić bez narażenia na niebezpieczeństwo powierzonego mu statku powietrznego, pasażerów, załogi lub innych osób;Nie, dowódca statku powietrznego nie ma takiego obowiązku;Tak, ma obowiązek udzielić pomocy;Tak, ma obowiązek udzielić pomocy ale tylko jeżeli sygnał pochodzi z terytorium nie objętego żadną zwierzchnością państwową
28;PL010-0032;Czy dowódca statku powietrznego który spostrzegł statek powietrzny lub morski, który uległ wypadkowi lub znalazł się w niebezpieczeństwie obowiązany jest udzielić znajdującym się w niebezpieczeństwie pomocy?;Tak, ale tylko w zakresie, w jakim może to uczynić bez narażenia na niebezpieczeństwo powierzonego mu statku powietrznego, pasażerów, załogi lub innych osób;Nie, dowódca statku powietrznego nie ma takiego obowiązku;Tak, ma obowiązek udzielić pomocy;Tak, ma obowiązek udzielić pomocy ale tylko jeżeli sygnał pochodzi z terytorium nie objętego żadną zwierzchnością państwową
29;PL010-0033;Czy dowódca statku powietrznego który zauważył katastrofę lub klęskę żywiołową obowiązany jest udzielić znajdującym się w niebezpieczeństwie pomocy?;Tak, ale tylko w zakresie, w jakim może to uczynić bez narażenia na niebezpieczeństwo powierzonego mu statku powietrznego, pasażerów, załogi lub innych osób;Nie, dowódca statku powietrznego nie ma takiego obowiązku;Tak, ma obowiązek udzielić pomocy;Tak, ma obowiązek udzielić pomocy ale tylko jeżeli sygnał pochodzi z terytorium nie objętego żadną zwierzchnością państwową
30;PL010-0034;Czy dowódca statku powietrznego który zauważył osobę znajdującą się na morzu w niebezpieczeństwie utraty życia obowiązany jest udzielić znajdującemu się w niebezpieczeństwie pomocy?;Tak, ale tylko w zakresie, w jakim może to uczynić bez narażenia na niebezpieczeństwo powierzonego mu statku powietrznego, pasażerów, załogi lub innych osób;Nie, dowódca statku powietrznego nie ma takiego obowiązku;Tak, ma obowiązek udzielić pomocy;Tak, ma obowiązek udzielić pomocy ale tylko jeżeli sygnał pochodzi z terytorium nie objętego żadną zwierzchnością państwową
31;PL010-0035;Czy egzamin państwowy praktyczny podlega opłacie?;Tak;Tak ale tylko w przypadku kiedy odbywa się poza Warszawą;Nie podlega opłacie;Tak, ale tylko kiedy jest to egzamin poprawkowy
32;PL010-0036;Czy egzamin państwowy teoretyczny podlega opłacie?;Tak;Tak ale tylko w przypadku kiedy odbywa się poza Warszawą;Nie podlega opłacie;Tak, ale tylko kiedy jest to egzamin poprawkowy
33;PL010-0037;Czy licencja wydana lub potwierdzona przez właściwy organ obcego państwa może być w Rzeczypospolitej Polskiej uznana za ważną na równi z licencją polską?;Tak jeżeli wynika to z umowy międzynarodowej;Nie ma takiej możliwości;Tak jeżeli obca licencja ma taki sam wygląd jak polska;Tak jeżeli zezwoli na to minister właściwy do spraw transportu
34;PL010-0038;FSTD oznacza:;Szkoleniowe urządzenie symulacji lotu;Zatwierdzona organizacja szkolenia lotniczego;Standard lotniczy;Gotowość do lotu
35;PL010-0039;Czy na statku powietrznym wykonującym loty z załogą musi być wyznaczony dowódca statku powietrznego?;Tak, zawsze;Nie, nie ma takiej potrzeby;Dowódcą jest członek załogi o najwyższych kwalifikacjach;Tak, ale tylko w przypadku lotów komercyjnych
36;PL010-0040;Czy Prezes ULC może upoważnić pracowników ULC do wydawania, odmawiania wydania, uznawania, zawieszania uznania, przywracania uznania, odmawiania uznania, cofania uznania, cofania, zawieszania, przywracania i zmieniania licencji?;Tak;Tak ale tylko za zgodą ministra właściwego do spraw transportu;Nie ma takiej możliwości;Tak ale tylko w przypadku własnej choroby
37;PL010-0041;Gdzie musi być wyznaczony kierownik szkolenia?;W ATO;W AWC;W AOC;W AHAC
38;PL010-0042;Czy w decyzji o zawieszeniu licencji lub uprawnienia lotniczego wpisywanego do licencji określa się okres zawieszenia?;Tak;Nie;Tak, jeżeli okres zawieszenia jest dłuższy niż 3 miesiące;Tak, jeżeli okres zawieszenia jest dłuższy niż 6 miesięcy
39;PL010-0044;Czy w przypadku kiedy statek powietrzny przekroczył granicę państwową bez wymaganego zezwolenia lub niezgodnie z warunkami zezwolenia, państwowe organy zarządzania ruchem lotniczym mogą wezwać statek powietrzny do wylądowania na wskazanym lotnisku lub mogą wezwać do wykonania innych poleceń tych organów?;Tak, ale bez narażania na niebezpieczeństwo osób będących na pokładzie tego statku powietrznego;Tak, w każdym przypadku bez względu na konsekwencje;Nie, nie mogą;Mogą ale tylko po zezwoleniu dzielonym przez Prezesa ULC
40;PL010-0045;Czy w przypadku kiedy statek powietrzny wykonuje lot wbrew zakazom lub ograniczeniom ustalonym w danych przestrzeniach powietrznych, państwowe organy zarządzania ruchem lotniczym mogą, wezwać statek powietrzny do wylądowania na wskazanym lotnisku lub mogą wezwać do wykonania innych poleceń tych organów?;Tak, ale bez narażania na niebezpieczeństwo osób będących na pokładzie tego statku powietrznego;Mogą ale tylko po zatwierdzedniu udzielonym przez ministra właściwego do spraw transportu;Tak, w każdym przypadku bez względu na konsekwencje;Mogą ale tylko po zezwoleniu dzielonym przez Prezesa ULC
41;PL010-0046;Czy w skład komisji którą powołuje Naczelny Lekarz Lotnictwa Cywilnego w celu zbadania zasadności odwołania od orzeczenia lotniczo- lekarskiego mogą wchodzić specjaliści biorący udział w badaniach na podstawie których wydano zaskarżone orzeczenie lotniczo- lekarskie?;Nie jest to możliwe;Jest to możliwe po zgodzie Ministra Zdowia;Jest to możliwe pod warunkiem złożenia uzasadnienia takiego stanu rzeczy przed Prezesem ULC;Jest to możliwe
42;PL010-0047;Czym jest licencja?;Jest świadectwem stwierdzającym posiadanie określonych kwalifikacji oraz dowodem upoważnienia do wykonywania określonych czynności lotniczych;Jest to dokument określający możliwość wykonywania lotów statkiem powietrznym;Jest to potwierdzenie, że posiadacz dokumentu może wykonywać loty statkiem powietrznym;Jest to dokument określający możliwość posiadania określonych kwalifikacji i określający możliwość wykonywania lotów statkiem powietrznym
43;PL010-0048;Przez kogo powienien zostać wpisany statek powietrzny do rejestru statków powietrznych?;Przez Prezesa Urzędu Lotnictwa Cywilnego;Przez Ministra Infrastruktury;Przez Ministra Transportu;Przez Ministra Komunikacji
44;PL010-0049;Do czego jest zobowiązany członek personelu lotniczego, który jest świadomy utraty sprawności fizycznej lub psychicznej wymaganej do wykonywania swoich funkcji?;Do natychmiastowego poddania się badaniom lotniczo-lekarskim;Do poinformowania o tym Prezesa ULC;Do poinformowania o tym Ministra właściwego do spraw transportu;Do zawieszenia licencji
45;PL010-0050;Do kogo może odwołać się osoba zainteresowana od orzeczenia komisji lekarskiej centrum medycyny lotniczej?;Do Naczelnego Lekarza Lotnictwa Cywilnego;Tylko do Prezesa ULC;Wyłącznie do ministra właściwego do spraw transportu;Do przewodniczącego danej komisji lekarskiej centrum medycyny lotniczej
46;PL010-0051;Jaki jest termin na złożenie odwołania od orzeczenia lotniczo- lekarskiego?;14 dni;7 dni;30 dni;60 dni
47;PL010-0052;Do lotniska dolatuje statek powietrzny bez łączności. Aby wydać temu statkowi zezwolenia na lądowanie, informator AFIS nada sygnał świetlny:;Ciągły sygnał zielony;Serię błysków czerwonych;Ciągły sygnał czerwony;Serią błysków zielonych
48;PL010-0053;Do lotniska dolatuje statek powietrzny bez łączności. Pilot dostrzegł nadaną z miejsca kierowania lotami w jego kierunku serię błysków czerwonych. Oznacza to, że:;Lotnisko nie jest bezpieczne, nie lądować;Zezwala się lądować;Należy lądować na tym lotnisku i kołować do płyty postojowej;Płyta postojowa zajęta
49;PL010-0054;Do lotniska dolatuje statek powietrzny bez łączności. Pilot dostrzegł nadany z miejsca kierowania lotami w jego kierunku ciągły sygnał zielony. Oznacza to, że:;Zezwala się lądować;Lotnisko nie jest bezpieczne, nie lądować;Należy dać pierwszeństwo drogi innym statkom powietrznym i kontynuować okrążenie;Należy lądować na tym lotnisku i kołować do płyty postojowej
50;PL010-0056;Dolna granica drogi lotniczej powinna być ustalona na wysokości nad terenem nie mniejszej niż:;200 m;900 m;600m;FL55
51;PL010-0057;Dolna granica strefy kontrolowanej lotniska powinna się znajdować:;Na powierzchni terenu;Na elewacji lotniska;Nie niżej niż 560 m AMSL;Nie niżej niż 200 m AGL
52;PL010-0058;Dolna granica TMA powinna znajdować się:;Nie niżej niż 200 m AGL;Na powierzchni terenu;Nie niżej niż 560 m AMSL;Nie niżej niż 900 m AGL
53;PL010-0059;Elewacja lotniska jest to:;Wzniesienie nad średni poziom morza najwyższego punktu terenowego na polu wzlotów;Średnie wzniesienie lotniska n.p.m;Elewacja najwyższego punktu na lotnisku;Elewacja najniższego progu drogi startowej
54;PL010-0061;Gdzie zostało ustanowione ICAO?;Na konferencji chicagowskiej;Na konferencji warszawskiej;Na konferencji paryskiej;Na konferencji montrealskiej
55;PL010-0062;Jaką licencję uważamy za ważną?;Licencję wydaną przez Prezesa ULC lub licencję wydaną przez właściwy organ obcego państwa i uznaną przez Prezesa ULC, chyba że uznanie nie jest wymagane;Licencję w której znajduje się zdjęcie jej posiadacza;Licencję wydaną przez Inspektorat Personelu Lotniczego ULC;Licencję wydaną przez Ministra Transportu
56;PL010-0064;Jaki charakter ma zawieszenie licencji i wynikających z niej uprawnień lub niektórych wynikających z niej uprawnień?;Ma charakter okresowy;Ma charakter stały;Ma charakter dożywotni;Ma charakter fakultatywny
57;PL010-0065;Jaki czas jest stosowany w ruchu lotniczym kontrolowanym, a jaki w niekontrolowanym ?;W ruchu lotniczym kontrolowanym i niekontrolowanym - czas UTC;W ruchu lotniczym kontrolowanym i w niekontrolowanym czas LMT;W ruchu lotniczym kontrolowanym – czas LMT, w niekontrolowanym - czas UTC;W ruchu lotniczym kontrolowanym – czas UTC, w niekontrolowanym – czas LMT
58;PL010-0069;Jaki status prawny posiada ICAO?;Status wyspecjalizowanej organizacji Organizacji Narodów Zjednoczonej;Status agendy rządowej Rządu Stanów Zjednoczonych Ameryki;Status jednostki budżetowej Paktu Północnoatlantyckieg o;Status agendy rządowej Rządu Kanady
59;PL010-0070;Jakie działania przeprowadza Naczelny Lekarz w celu zbadania zasadności odwołania, osoby zainteresowanej, od wydanego orzeczenia lotniczo- lekarskiego?;Powołuje komisję w skład której wchodzą lekarze specjaliści w szczególności z zakresu medycyny lotniczej;Sam rozpatruje zasadność odwołania;Współpracując z lekarzem orzecznikiem który wydał zaskarżone orzeczenie, rozpatruje zasadność odwołania;Współpracując z centrum medycyny lotniczej które wydało zaskarżone orzeczenie, rozpatruje zasadność odwołania
60;PL010-0071;W skład przestrzeni powietrznej kontrolowanej wchodzi:;CTA;ATZ;CTA i TSA;MATZ
61;PL010-0072;W skład przestrzeni powietrznej niekontrolowanej wchodzi:;ATZ;CTA;CTA i TSA;MATZ
62;PL010-0073;Służba kontroli ruchu lotniczego jest zapewniana:;Całemu ruchowi lotniskowemu na lotniskach kontrolowanych;Wszystkim lotom IFR w przestrzeni powietrznej klasy G;Wszystkim lotom VFR w przestrzeni powietrznej klasy G;Wszystkim lotom IFR w przestrzeni powietrznej klasy F
63;PL010-0074;Służba informacji powietrznej zapewnia następujące informacje:;Informacje SIGMET i AIRMET;Informację BVLOS;Informację VLOS;Tylko informację SIGMET
64;PL010-0075;Kto publikuje Zintegrowany Pakiet Informacji Lotniczych w Polsce?;Instytucja zapewniająca służby ruchu lotniczego;Minister właściwy do spraw transportu;Minister Komunikacji;Prezez ULC
65;PL010-0076;Wniosek o wydanie, przedłużenie lub wznowienie licencji pilota oraz towarzyszących uprawnień należy składać do:;Prezesa ULC;Ministra właściwego do spraw transportu;Ministra Komunikacji;Instytucji zapewniającej służby ruchu lotniczego
66;PL010-0077;Świadectwo kwalifikacji personelu lotniczego jest wydawane w formie?;Decyzji administracyjnej;Zaświadczenia;Potwierdzenia;Pisemnego potwierdzenia
67;PL010-0078;Jakiemu prawu podlega polski statek powietrzny oraz osoby i rzeczy na tym statku w czasie lotu poza granicami polskiej przestrzeni powietrznej i w czasie przebywania na obszarze nie podlegającemu zwierzchnictwu żadnego państwa?;Prawu polskiemu, chyba że to prawo stanowi inaczej;Prawu państwa w którym ma nastąpić lądowanie;Prawu państwa z którego pochodzi większość pasażerów;Prawu państwa z którego nastąpił start
68;PL010-0079;Jakiemu prawu podlegają w czasie lotu w polskiej przestrzeni powietrznej i w czasie przebywania na terytorium Rzeczypospolitej Polskiej wszystkie statki powietrzne oraz osoby i rzeczy na tych statkach?;Prawu polskiemu, chyba że prawo to stanowi inaczej;Prawu państwa w którym jest zarejestrowany dany statek powietrzny;Prawu państwa z którego pochodzi większość pasażerów podróżujących danym statkiem powietrznym;Prawu państwa z którego nastąpił start danego statku powietrznego
69;PL010-0080;Jeżeli właściwy organ służby ruchu lotniczego lub organ kierowania lotami danego lotniska nie udzielił zezwolenia na przelot w pobliżu czynnego lotniska kontrolowanego, na którym nie przewiduje się lądowania, należy w locie VFR omijać je:;Poza granicą strefy kontrolowanej lub rejonu kontrolowanego tego lotniska (CTR lub TMA);W odległości min. 2 km;W odległości min. 5 km;W odległości min. 20 km
70;PL010-0081;Jeżeli właściwy organ służby ruchu lotniczego lub organ kierowania lotami danego lotniska nie udzielił zezwolenia na przelot w pobliżu czynnego lotniska niekontrolowanego , na którym nie przewiduje się lądowania, należy w locie VFR omijać je:;Poza granicą strefy ruchu lotniskowego tego lotniska (ATZ);W odległości min. 10 km;W odległości min. 2 km;W odległości min. 20 km
71;PL010-0082;Jeżeli właściwy organ służby ruchu lotniczego lub organ kierowania lotami danego lotniska nie udzielił zezwolenia na przelot w pobliżu czynnego lotniska wojskowego, na którym nie przewiduje się lądowania, należy w locie VFR omijać je:;Poza granicą strefy ruchu lotniskowego tego lotniska (MATZ);W odległości min. 5 km;W odległości min. 15 km;W odległości min. 25 km
72;PL010-0083;Jeżeli z ograniczenia zamieszczonego w orzeczeniu lotniczo- lekarskim wynika, że członek personelu lotniczego powinien używać podczas wykonywania czynności lotniczych szkieł korekcyjnych to:;Musi używać niebarwionych soczewek kontaktowych;Członek personelu lotniczego musi posiadać dodatkowe okulary przeciwsłoneczne;Członek personelu lotniczego musi posiadać aktualne badanie wzroku;Nie może być dowódcą statku powietrznego
73;PL010-0084;W przypadku poddania się operacji chirurgicznej posiadacze licencji:;Powinni zasięgnąć porady lotniczo-lekarskiej;Powinni zawiesić licencję;Powinni utracić licencję;Nie powinni wykonywać czynności personelu lotniczego
74;PL010-0085;W przypadku gdy posiadacze licencji po raz pierwszy korzystają z soczewek korekcyjnych:;Powinni zasięgnąć porady lotniczo-lekarskiej;Powinni zawiesić licencję;Nie powinni wykonywać czynności personelu lotniczego;Utracą licencję
75;PL010-0087;Okres ważności uprawnień na klasę lub typ statku powietrznego wynosi:;1 rok;Pół roku;3 lata;4 lata
76;PL010-0088;Gdzie osoba ubiegająca się o wydanie uprawnienia na klasę lub typ statku powietrznego musi ukończyć szkolenie?;W ATO;W ULC;W AWC;W MPO
77;PL010-0089;Gdzie w przypadku wygaśnięcia uprawnień na klasę lub typ statku powietrznego, kandydat musi podjąć szkolenie odświeżające?;W ATO;W ULC;W AWC;W MPO
78;PL010-0091;Kiedy następuje wymiana licencji?;Na wniosek złożony do Prezesa ULC;Na wniosek złożony do rejestru personelu lotniczego;Z mocy prawa po 5 latach od chwili wydania;Na wniosek złożony do ministra właściwego do spraw transportu
79;PL010-0092;Kiedy następuje, przywrócenie na wniosek zainteresowanego licencji, która została zawieszona?;Kiedy zostały spełnione warunki przywrócenia licencji, określone w decyzji o zawieszeniu licencji;Kiedy zgodę wyrazi zatwierdzona organizacja szkolenia;Kiedy zgodę wyrazi Minister właściwy do spraw transportu;Kiedy upłynie termin ważności licencji
80;PL010-0093;Kiedy obowiązek pomocy, spoczywający na dowódcy statku powietrznego który otrzymał sygnał o niebezpieczeństwie grożącym innemu statkowi powietrznemu ustaje?;Gdy dowódca wie, że ktoś inny udziela pomocy w podobnych lub lepszych warunkach, niż on sam mógłby udzielić;Tego rodzaju obowiązek nigdy nie ustaje;Gdy zgodę wyrazi Prezes ULC;Gdy zgodzę wyrazi minister właściwy do spraw transportu
81;PL010-0094;Kiedy obowiązek pomocy, spoczywający na dowódcy statku powietrznego który zauważył osobę znajdującą się na morzu w niebezpieczeństwie utraty życia, ustaje?;Gdy dowódca wie, że ktoś inny udziela pomocy w podobnych lub lepszych warunkach, niż on sam mógłby udzielić;Tego rodzaju obowiązek nigdy nie ustaje;Gdy zgodę wyrazi Prezes ULC;Gdy zgodzę wyrazi minister właściwy do spraw transportu
82;PL010-0096;Kiedy sprawdza się sprawność psychiczną i fizyczną członka personelu lotniczego?;W trakcie badań lotniczo- lekarskich;W trakcie rozmowy w ATO;W trakcie rozmowy kwalifikacyjnej prowadzonej przez organizację do której przynależy dany członek personelu lotniczego;W trakcie rozmowy kwalifikacyjnej przeprowadzonej w Inspektoracie Personelu Lotniczego
83;PL010-0097;Kiedy sprawdza się sprawność psychiczną i fizyczną kandydata na członka personelu lotniczego?;W trakcie badań lotniczo- lekarskich;W trakcie rozmowy kwalifikacyjnej przeprowadzonej w Inspektoracie Personelu Lotniczego;W trakcie rozmowy kwalifikacyjnej prowadzonej przez organizację która ma szkolić danego kandydata;W trakcie rozmowy w ATO
84;PL010-0101;Czy licencja może być wydana osobie, w stosunku do której prokurator postanowił zastosować środek zapobiegawczy polegający na obowiązku powstrzymania się od prowadzenia wszelkiego rodzaju pojazdów mechanicznych?;Nie;Tak za zgodą ministra właściwego do spraw transportu;Tak pod warunkiem dodatkowej opłaty;Tak ale tylko na 1 rok
85;PL010-0102;Komu może być udzielona licencja?;Osobie, która spełnia wymogi w zakresie wieku;Osobie, która nie ma pełnej zdolności do czynności prawnych;Osobie, która ma orzeczenie lotniczo- lekarskie klasy 3;Osobie, która odpowiada wymaganiom w zakresie sprawności psychicznej i fizycznej klasy 3
86;PL010-0103;Komu może być udzielona licencja?;Osobie, która korzysta z pełni praw publicznych;Osobie, która posiada ograniczoną zdolność do czynności prawnych;Osobie, która ma orzeczenie lotniczo- lekarskie klasy 3;Osobie, która odpowiada wymaganiom w zakresie sprawności psychicznej i fizycznej klasy 3
87;PL010-0104;Komu może być udzielona licencja?;Osobie która ma pełną zdolność do czynności prawnych;Osobie która ma ograniczone prawa publiczne;Osobie która nie posiada orzeczenia o braku przeciwwskazań do wykonywania funkcji członka personelu lotniczego;Osobie która nie spełnia wymogu w zakresie wieku
88;PL010-0105;Komu może być udzielona licencja?;Osobie, która zdała egzamin teoretyczny i egzamin praktyczny;Osobie, która ma orzeczenie lotniczo- lekarskie klasy 3;Osobie, która nie spełnia wymagań i warunków dotyczących ukończenia szkolenia lotniczego;Osobie, która nie spełnia wymogu wieku
89;PL010-0106;Komu może być udzielona licencja?;Osobie która spełnia wymogi w zakresie wieku i wykształcenia;Osobie która ma ograniczone prawa publiczne;Osobie która nie posiada orzeczenia o braku przeciwwskazań do wykonywania funkcji członka personelu lotniczego;Osobie, która ma orzeczenie lotniczo- lekarskie klasy 3
90;PL010-0107;Komu może być udzielona licencja?;Osobie, która odpowiada wymaganiom w zakresie sprawności psychicznej i fizycznej, potwierdzonym orzeczeniem o braku przeciwwskazań do wykonywania funkcji członka personelu lotniczego;Osobie, która ma ograniczone prawa publiczne;Osobie, która nie spełnia wymagań i warunków dotyczących ukończenia szkolenia lotniczego;Osobie, która nie spełnia wymogu wieku
91;PL010-0108;Komu może być udzielona licencja?;Osobie która spełnia wymagania i warunki dotyczące ukończenia szkolenia lotniczego, praktyki lotniczej oraz posiadania wiedzy i umiejętności, potwierdzone zdaniem egzaminu państwowego;Osobie która ma ograniczone prawa publiczne;Osobie która nie posiada orzeczenia o braku przeciwwskazań do wykonywania funkcji członka personelu lotniczego;Osobie, która ma orzeczenie lotniczo- lekarskie klasy 3
